Model,DIC,logscore,WAIC
T1,1042.4065,6.5,1340.4588
T2,2222.0921,45.477,19818.0774
S,1965.991,45.097,17552.7209
mt,1423.8339,16.984,16210.021
tr,1548.9417,24.163,21070.2138
T2+tr,1240.1244,23.713,13899.4506
T2+mt,1045.2335,16.985,7881.6974
mt+tr,929.5844,10.904,2632.9419
T1+T2,1006.3999,6.56,1625.2014
T1+tr,901.2889,6.056,1041.436
T1+mt,890.5264,5.826,1094.3683
T1+S,853.4162,5.239,918.6471
T2+S,1343.8555,45.424,21698.7329
T2+T1+tr,886.0522,6.05,1031.1652
T2+T1+mt,878.4577,5.863,1142.9348
T2+T1+S,851.4224,5.252,918.9607
T2+mt+tr,786.8643,5.478,934.6144
T2+T1+tr+mt+S,705.8777,4.616,757.6971
